"Time","C1_39.05nM","C2_78.12nM","C3_156.2nM","C4_312.5nM","C5_625nM","C6_1250nM","C7_2500nM","C8_5000nM"
-39.56,-0.0597839,-0.132844,-0.141664,-0.0719314,-0.0518188,-0.1297,-0.0969863,-0.0367446
-39.46,-0.0742493,-0.130524,-0.149109,-0.0777893,-0.0576782,-0.132814,-0.100098,-0.03479
-39.36,-0.078949,-0.144195,-0.153015,-0.0840749,-0.0620117,-0.134399,-0.101685,-0.0414419
-39.26,-0.0859677,-0.134796,-0.146729,-0.0750427,-0.0596313,-0.129699,-0.0969849,-0.0269775
-39.16,-0.0812683,-0.12619,-0.144409,-0.0727234,-0.0510254,-0.128113,-0.0953979,-0.0253906
-39.06,-0.0754089,-0.138336,-0.154174,-0.072723,-0.0584717,-0.130493,-0.0930782,-0.0230709
-38.96,-0.0672302,-0.145355,-0.145996,-0.0727234,-0.050293,-0.124634,-0.0946655,-0.0246582
-38.86,-0.0625305,-0.138702,-0.156494,-0.0727233,-0.0576782,-0.116394,-0.090332,-0.0253906
-38.76,-0.0625298,-0.13327,-0.141296,-0.0696106,-0.0377808,-0.105895,-0.083313,-0.0148926
-38.66,-0.0574646,-0.125824,-0.141296,-0.0582581,-0.0377808,-0.108215,-0.0880127,-0.0203247
-38.56,-0.0628967,-0.125823,-0.153381,-0.0727226,-0.0432129,-0.106628,-0.093444,-0.0203239
-38.46,-0.0738831,-0.13443,-0.146362,-0.0813293,-0.0494995,-0.117613,-0.0997314,-0.0168457
-38.36,-0.0617371,-0.118379,-0.141663,-0.0602126,-0.0350342,-0.105469,-0.0852661,-0.00470114
-38.26,-0.0660713,-0.122711,-0.145996,-0.0676575,-0.0350342,-0.109803,-0.0966187,-0.00744629
-38.16,-0.0715027,-0.118011,-0.151428,-0.0746765,-0.0397339,-0.115234,-0.102051,-0.0101929
-38.06,-0.0617371,-0.118012,-0.146363,-0.0649116,-0.0322876,-0.115234,-0.106751,-0.007447
-37.96,-0.0644836,-0.121124,-0.146362,-0.0777893,-0.0350342,-0.112914,-0.119629,-0.0172119
-37.86,-0.0496521,-0.108247,-0.141663,-0.0649121,-0.0303345,-0.115234,-0.10675,-0.00274777
-37.76,-0.0578323,-0.101227,-0.149109,-0.0578918,-0.0213623,-0.112917,-0.109497,0.00427246
-37.66,-0.0672302,-0.106293,-0.160828,-0.0680237,-0.0358276,-0.119934,-0.116516,-0.0101929
-37.56,-0.0762024,-0.116058,-0.160034,-0.0598447,-0.038147,-0.110168,-0.121582,-0.0125119
-37.46,-0.0726624,-0.121124,-0.156494,-0.0649109,-0.0311279,-0.0968627,-0.114563,-0.0152588
-37.36,-0.0816956,-0.115692,-0.155762,-0.0629578,-0.0280151,-0.0961304,-0.125916,-0.0121461
-37.26,-0.0695503,-0.116425,-0.146729,-0.0484924,-0.0233154,-0.0937507,-0.11377,0.00390625
-37.16,-0.0773621,-0.116058,-0.156128,-0.051239,-0.0283813,-0.0917969,-0.109863,-0.0101929
-37.06,-0.0836487,-0.12741,-0.167479,-0.059844,-0.034668,-0.0980835,-0.125915,-0.0219106
-36.96,-0.0812683,-0.128143,-0.163147,-0.0649109,-0.0322876,-0.100403,-0.133301,-0.0339966
-36.86,-0.0840149,-0.121125,-0.164307,-0.0633243,-0.0334473,-0.0957031,-0.124695,-0.0320438
-36.76,-0.0840142,-0.125458,-0.17334,-0.0625916,-0.0327148,-0.098449,-0.119263,-0.0246582
-36.66,-0.0742493,-0.121124,-0.165894,-0.0680237,-0.0264282,-0.0984497,-0.109497,-0.0300903
-36.56,-0.0840149,-0.121123,-0.170959,-0.0680229,-0.0408936,-0.0984497,-0.121581,-0.0398552
-36.46,-0.0773621,-0.118805,-0.157288,-0.0657043,-0.0358276,-0.0898448,-0.104797,-0.0406494
-36.36,-0.0887146,-0.132476,-0.163574,-0.0696096,-0.0526123,-0.101196,-0.114563,-0.0492544
-36.26,-0.07425,-0.121124,-0.165894,-0.059845,-0.0526123,-0.0914314,-0.109497,-0.0394897
-36.16,-0.0840149,-0.13089,-0.165894,-0.063324,-0.0526123,-0.103516,-0.124695,-0.0515747
-36.06,-0.0722961,-0.125459,-0.162782,-0.0528275,-0.0526123,-0.0933838,-0.123964,-0.0347916
-35.96,-0.0840149,-0.134796,-0.158447,-0.0652771,-0.0545654,-0.0890485,-0.123535,-0.0465088
